arm,dataset,n,weighting,rule,bandwidth,h_over_sd,loo,model_sd_over_data_sd,mass_below,w1
empirical,AluminiumSheetGoods,26,Variable,silverman,0.3537928849915381,0.4644550382152955,-1.0530738336147267,1.0465473072806482,0.09066158945149445,0.1566522313388639
empirical,AluminiumSheetGoods,26,Variable,silverman_floored,0.353792884991538,0.4644550382152953,-1.0530738336147267,1.0465473072806482,0.0906615894514944,0.15665223133886375
empirical,AluminiumSheetGoods,26,Variable,cv,0.09512617906970533,0.1248805021507195,-0.8539986165710054,1.0066265159029366,0.004312141209114864,0.0449156321023564
empirical,AluminiumSiding,3,Uniform,scott,0.44932352318781144,0.8509060554658445,-1.5074443416836432,1.160732396382051,0.07708051551129501,0.28748190163559206
empirical,AluminiumSiding,3,Uniform,silverman,0.3815011045934248,0.7224674055842076,-1.7817856048009126,1.1190592677504803,0.061442315676985035,0.28129710124100943
empirical,AluminiumSiding,3,Uniform,silverman_floored,0.3815011045934248,0.7224674055842076,-1.7817856048009126,1.1190592677504803,0.061442315676985035,0.28129710124100943
empirical,AluminiumSiding,3,Uniform,cv,0.9168299142455896,1.7362459021263312,-1.0923451674155817,1.5694231517548727,0.17466203606972255,0.3642948411717975
empirical,AluminiumSiding,3,Variable,scott,0.5136803811492383,0.9018221145093058,-1.9284307664139342,1.1621410091179099,0.07354298513255689,0.2721571449037711
empirical,AluminiumSiding,3,Variable,silverman,0.4361437198436928,0.765698021753184,-2.2013889475021116,1.1124468194785098,0.06104133559146908,0.24691024139044038
empirical,AluminiumSiding,3,Variable,silverman_floored,0.4361437198436928,0.765698021753184,-2.2013889475021116,1.1124468194785098,0.06104133559146908,0.24691024139044038
empirical,AluminiumSiding,3,Variable,cv,1.1918450863258163,2.092414457241273,-1.3035115487185664,1.7814372596328543,0.18330445236647133,0.5192749805605418
empirical,AluminiumSuspensionAssembly,22,Uniform,scott,0.6865592450070176,0.5712435758877447,-1.4213861800009775,1.0444650455315323,0.22800465169698278,0.3405235018906728
empirical,AluminiumSuspensionAssembly,22,Uniform,silverman,0.4615345573196863,0.3840144209497463,-1.6090118515171086,1.0170248912912547,0.20092450159232694,0.27773730005960784
empirical,AluminiumSuspensionAssembly,22,Uniform,silverman_floored,0.4615345573196864,0.3840144209497464,-1.6090118515171086,1.0170248912912545,0.20092450159232694,0.2777373000596076
empirical,AluminiumSuspensionAssembly,22,Uniform,cv,0.05642575057186269,0.046948384663426004,-0.20641662517631906,1.0096110603948898,0.07806627350424551,0.16925599929754997
empirical,AluminiumSuspensionAssembly,22,Variable,scott,0.8799833352109625,0.6419210716913,-1.6354377946557017,1.0490717182261842,0.22591809955454212,0.5576494127906528
empirical,AluminiumSuspensionAssembly,22,Variable,silverman,0.5190512078491242,0.37863206525984533,-2.040515530372345,1.008099415905105,0.1836967594439725,0.38616480123466745
empirical,AluminiumSuspensionAssembly,22,Variable,silverman_floored,0.5190512078491241,0.3786320652598453,-2.040515530372345,1.0080994159051049,0.18369675944397248,0.3861648012346682
empirical,AluminiumSuspensionAssembly,22,Variable,cv,0.06360284774077539,0.04639634246549593,-0.7857741193658512,1.0050151667353147,0.07353636842715276,0.12938966402758129
empirical,Asphalt,7232,Uniform,scott,0.04750075076793008,0.17924794351454434,0.03573779886318372,1.0167712653866718,2.3170513216041437e-16,0.008580474295952229
empirical,Asphalt,7232,Uniform,silverman,0.031071732287878823,0.11725170705716507,0.09361484999145774,1.0075807001770645,4.162453735289739e-32,0.0063354783975413335
empirical,Asphalt,7232,Uniform,silverman_floored,0.031071732287878826,0.11725170705716509,0.055533982775027,1.0075807001770598,4.1624537352897927e-32,0.0063354783975413335
empirical,Asphalt,7232,Uniform,cv,0.0039039100183991286,0.014731721733887117,0.047112757672455284,1.000665990124488,0.0,0.0052340390158669885
empirical,Asphalt,7232,Variable,scott,0.05341236570401809,0.20627752572610047,0.0696474757501833,1.021966279250995,7.981024879587023e-14,0.0061093189629719885
empirical,Asphalt,7232,Variable,silverman,0.03485622122735591,0.13461405380888544,0.09400940249520504,1.0098107719186082,1.7494859210061706e-26,0.0031592823835215646
empirical,Asphalt,7232,Variable,silverman_floored,0.03485622122735591,0.13461405380888544,0.07162930472664505,1.0098107719186082,1.7494859210061706e-26,0.0031592823835215646
empirical,Asphalt,7232,Variable,cv,0.020511984528201344,0.07921688845718225,0.07536358325445582,1.0038312725017693,3.4362952281282445e-67,0.0019808057827544723
empirical,BackingAndUnderlay,45,Uniform,scott,0.7066122660918897,0.49506629809820224,-1.1269316827538551,1.0809022048009165,0.23779906860840844,0.4172176474705269
