dataset,n,n_near_zero,min_over_mean,has_near_zero,w1_2p,w1_offset,w1_2p_drop_near_zero,w1_offset_drop_near_zero,offset_gain,offset_gain_pct,offset_gain_dropped
MBQ,40,0,0.41491370104668285,False,0.17536263191012702,0.21200160420409997,0.17536263191012702,0.21200160420409997,-0.03663897229397295,-20.89326095011527,-0.03663897229397295
MasonryCement,26,0,0.24794567841607773,False,0.06709356993407357,0.06395901888297231,0.06709356993407357,0.06395901888297231,0.0031345510511012614,4.671909773442201,0.0031345510511012614
MassTimber,66,0,0.14598652629205394,False,0.19170916972194824,0.25646745787361563,0.19170916972194824,0.25646745787361563,-0.0647582881516674,-33.77944218609456,-0.0647582881516674
MechanicalInsulation,22,0,0.1354263961751178,False,0.363852997058009,0.20969837498178875,0.363852997058009,0.20969837498178875,0.15415462207622024,42.3672811060131,0.15415462207622024
MetalDoorAndFrames,42,0,0.17992184065416014,False,0.11234057781830664,0.12833108835192253,0.11234057781830664,0.12833108835192253,-0.015990510533615887,-14.233957884281176,-0.015990510533615887
MetalRailings,13,0,0.20736325809617265,False,0.14506898671965834,0.1633592343904257,0.14506898671965834,0.1633592343904257,-0.018290247670767368,-12.607965413112554,-0.018290247670767368
MetalStairs,5,0,0.6984098242981952,False,0.09551808452154213,0.0987110005968421,0.09551808452154213,0.0987110005968421,-0.0031929160752999647,-3.3427346154328172,-0.0031929160752999647
Mirrors,19,0,0.20371699029635876,False,0.15424313645977014,0.0985696309732481,0.15424313645977014,0.0985696309732481,0.05567350548652204,36.09464042572997,0.05567350548652204
MiscMetalFabrication,69,0,0.24360057272888316,False,0.1600544654653428,0.15406432228513728,0.1600544654653428,0.15406432228513728,0.0059901431802055205,3.742565484061792,0.0059901431802055205
Mortar,248,0,0.014626609859814567,False,0.21066460810705318,0.39108601014145417,0.21066460810705318,0.39108601014145417,-0.180421402034401,-85.64390746770168,-0.180421402034401
NetworkingCableTrays,22,0,0.31128207870280095,False,0.14164623572572235,0.13219171167264332,0.14164623572572235,0.13219171167264332,0.009454524053079033,6.674744305515019,0.009454524053079033
NetworkingRaceways,32,1,0.009091629146848287,True,0.4736481436175079,0.33404356848481415,0.4701323655672469,0.33565911951126565,0.13960457513269375,29.474321184172254,0.13447324605598127
