arm,dataset,family,status,sigma,model_mean,model_sd,w1
empirical,DemountablePartitionTrack,lognormal_offset,,0.484569786879189,0.99103653398709,0.7595496575591058,0.275354417730208
empirical,DemountablePartitionTrack,lognormal_3p,boundary_guard,2.471724580219998,26.790513567111418,3281.008165525866,0.5723536627917154
empirical,DemountablePartitions,lognormal_offset,,0.41052898249427167,0.9980145782647909,0.6419395180559027,0.15837082982749268
empirical,DemountablePartitions,lognormal_3p,interior,0.0408181622242219,1.0127108291543319,0.49835622279953673,0.10050958878002691
empirical,DoorsAndFrames,lognormal_offset,,0.44291124325430914,0.8901526661494258,0.6394782134825521,0.11750624805569297
empirical,DoorsAndFrames,lognormal_3p,interior,0.7299011777496988,0.8888812059622233,0.8675112479377195,0.09014963999520918
empirical,Electrical,lognormal_offset,,0.004102377599916637,0.9907697388565495,0.0061237228088295076,0.003490227869815575
empirical,Electrical,lognormal_3p,boundary_guard,2.2757147945520497,1.0000765631066701,1.355628525587891,0.0022016559295566034
empirical,Elevators,lognormal_offset,,0.8302584950788067,1.0256187982564826,1.547751825137289,0.5480692212714541
empirical,Elevators,lognormal_3p,boundary_guard,2.100544543800706,2.748650813182363,231.96849534630567,0.48350476863513375
empirical,FenestrationAccessories,lognormal_offset,,0.6452008379250053,0.9740315570520205,1.024825100021467,0.37734447024844286
empirical,FenestrationAccessories,lognormal_3p,boundary_guard,1.9264742232716636,3.4608332698074484,218.8490595185026,0.5809646625468747
empirical,FenestrationFraming,lognormal_offset,,0.5597193349589824,1.069475089375348,0.9406802815737211,0.14094185263308737
empirical,FenestrationFraming,lognormal_3p,interior,0.8935810602661831,1.080502270067828,1.7036245176560227,0.10043805438407023
empirical,FiberCementSiding,lognormal_offset,,0.22121791356863113,0.9189864524119433,0.31873216652333597,0.0748287652999854
empirical,FiberCementSiding,lognormal_3p,interior,0.7139068202996736,0.9301035723544504,0.4529154858712851,0.07407120329836492
empirical,FireAndSmokeProtection,lognormal_offset,,0.5740149655882484,1.101934988149468,0.9910854293979464,0.26375699724700113
empirical,FireAndSmokeProtection,lognormal_3p,interior,1.221816886044041,1.244036916055309,6.109878786999719,0.28923535012417106
empirical,FlashingAndSheetMetal,lognormal_offset,,0.6011272105226092,1.0196663322988433,0.980556607723686,0.4784488222358221
empirical,FlashingAndSheetMetal,lognormal_3p,boundary_guard,1.6283041022029776,1.3644442535558834,31.245558833336663,0.36428825541983867
empirical,FlatGlassPanes,lognormal_offset,,0.49302518474827584,0.8735764993552282,0.7028517116412033,0.1382106703483062
empirical,FlatGlassPanes,lognormal_3p,interior,0.8768855472834023,0.8721893124065169,1.2610583891349878,0.14692820189705652
empirical,FlowableFill,lognormal_offset,,0.4318700659837683,0.9953323227079502,0.6755768190842536,0.15383941881211183
empirical,FlowableFill,lognormal_3p,interior,0.7667196060018425,0.9921659137291946,0.9180727591417526,0.06972591912870657
empirical,FoamedInPlace [PIR or PUR],lognormal_offset,,0.6661893516931894,1.7947678554912647,1.7923168516835362,0.648329894942269
empirical,FoamedInPlace [PIR or PUR],lognormal_3p,boundary_guard,2.0204596172689144,8.254823769121199,619.7681692259728,1.0316960056587625
empirical,FoamedInPlace [type not stated],lognormal_offset,,0.07985132922636706,0.9951598829275395,0.11975986390669098,0.044666381350623924
empirical,FoamedInPlace [type not stated],lognormal_3p,boundary_normal_limit,0.0009984115892301242,0.9950350559873085,0.11550832199124979,0.042332608123960315
empirical,Furnishings,lognormal_offset,,0.20506478387293015,0.9780498228545157,0.3071438306002062,0.12886863784092503
empirical,Furnishings,lognormal_3p,boundary_guard,2.2855397009702063,7.1182709618646065,713.3905208444309,0.3050705173947282
empirical,GlazedDoors,lognormal_offset,,0.5052595714840612,0.9417966012791399,0.7632607996826687,0.1363125024651832
