realization,dataset,n,method,w1,rank
0,ConcreteAdmixtures,118,"Lognormal, Uniform",0.36128193127072256,4.0
0,ConcreteAdmixtures,118,"Lognormal, Variable",0.26731452742736006,2.0
0,ConcreteAdmixtures,118,"KDE, Uniform",0.32662016148106704,3.0
0,ConcreteAdmixtures,118,"KDE, Variable",0.07987132450340223,1.0
0,ConcretePaving [3000-3999 psi],108,"Normal, Uniform",0.04876347589988527,5.0
0,ConcretePaving [3000-3999 psi],108,"Normal, Variable",0.04216427141316917,2.0
0,ConcretePaving [3000-3999 psi],108,"Lognormal, Uniform",0.04918367570221957,6.0
0,ConcretePaving [3000-3999 psi],108,"Lognormal, Variable",0.042180006078307505,3.0
0,ConcretePaving [3000-3999 psi],108,"KDE, Uniform",0.04434998054598596,4.0
0,ConcretePaving [3000-3999 psi],108,"KDE, Variable",0.02422577965569402,1.0
0,ConcretePaving [4000-4999 psi],160,"Normal, Uniform",0.034235558478701064,6.0
0,ConcretePaving [4000-4999 psi],160,"Normal, Variable",0.032822953140590846,5.0
0,ConcretePaving [4000-4999 psi],160,"Lognormal, Uniform",0.0294514785224218,4.0
0,ConcretePaving [4000-4999 psi],160,"Lognormal, Variable",0.02475620037511712,3.0
0,ConcretePaving [4000-4999 psi],160,"KDE, Uniform",0.0185166067433186,2.0
0,ConcretePaving [4000-4999 psi],160,"KDE, Variable",0.018305537771053575,1.0
0,ConcretePaving [5000-5999 psi],42,"Normal, Uniform",0.07621559044778917,5.0
0,ConcretePaving [5000-5999 psi],42,"Normal, Variable",0.06294467837988799,3.0
0,ConcretePaving [5000-5999 psi],42,"Lognormal, Uniform",0.08220759124068949,6.0
0,ConcretePaving [5000-5999 psi],42,"Lognormal, Variable",0.062222031929428316,2.0
0,ConcretePaving [5000-5999 psi],42,"KDE, Uniform",0.06924854814863995,4.0
0,ConcretePaving [5000-5999 psi],42,"KDE, Variable",0.05403954289392552,1.0
0,ConcretePaving [<3000 psi],32,"Normal, Uniform",0.048299972140523076,5.0
0,ConcretePaving [<3000 psi],32,"Normal, Variable",0.047177230498875664,3.0
0,ConcretePaving [<3000 psi],32,"Lognormal, Uniform",0.04832372968128798,6.0
0,ConcretePaving [<3000 psi],32,"Lognormal, Variable",0.04722181443995728,4.0
0,ConcretePaving [<3000 psi],32,"KDE, Uniform",0.04490736711277178,1.0
0,ConcretePaving [<3000 psi],32,"KDE, Variable",0.045011208811064796,2.0
0,ConcretePaving [strength not stated],38,"Normal, Uniform",0.22661078583814998,5.0
0,ConcretePaving [strength not stated],38,"Normal, Variable",0.2647884332038099,6.0
0,ConcretePaving [strength not stated],38,"Lognormal, Uniform",0.13481982040253557,4.0
0,ConcretePaving [strength not stated],38,"Lognormal, Variable",0.13331747456957005,2.0
0,ConcretePaving [strength not stated],38,"KDE, Uniform",0.08390106360400505,1.0
0,ConcretePaving [strength not stated],38,"KDE, Variable",0.13434963972590952,3.0
0,Countertops,76,"Normal, Uniform",0.4700786646256214,6.0
0,Countertops,76,"Normal, Variable",0.4046211142999133,5.0
0,Countertops,76,"Lognormal, Uniform",0.20347459359601794,1.0
0,Countertops,76,"Lognormal, Variable",0.20744383208359882,2.0
0,Countertops,76,"KDE, Uniform",0.23188273991875946,3.0
0,Countertops,76,"KDE, Variable",0.2498871982484588,4.0
0,CurtainWalls,54,"Normal, Uniform",0.30793046061266416,6.0
0,CurtainWalls,54,"Normal, Variable",0.15171019666768953,4.0
0,CurtainWalls,54,"Lognormal, Uniform",0.12842016222014338,3.0
0,CurtainWalls,54,"Lognormal, Variable",0.08249368177884492,1.0
0,CurtainWalls,54,"KDE, Uniform",0.17739407907027807,5.0
0,CurtainWalls,54,"KDE, Variable",0.09705257776485947,2.0
0,DampproofingAndWaterproofing,162,"Normal, Uniform",1.905117760020599,5.0
0,DampproofingAndWaterproofing,162,"Normal, Variable",1.9073469026576682,6.0
0,DampproofingAndWaterproofing,162,"Lognormal, Uniform",0.6438788140301934,3.0
0,DampproofingAndWaterproofing,162,"Lognormal, Variable",0.6576774861544663,4.0
0,DampproofingAndWaterproofing,162,"KDE, Uniform",0.10288628249681488,2.0
