arm,dataset,n,weighting,family,method,w1,seconds,status,mass_below_zero,threshold
synthetic,dataset5989,304,Uniform,kde,mle,0.030054970042462867,,,3.449679981420706e-05,
synthetic,dataset5989,304,Variable,normal,mle,0.07521920083068956,0.00026566709857434034,,0.002580910152680965,1.024633520260445
synthetic,dataset5989,304,Variable,normal,w1,0.05623014504957716,0.03488358296453953,,0.0004241833296491734,1.00279060376357
synthetic,dataset5989,304,Variable,lognormal_2p,mle,0.044783468612736195,0.0002547090407460928,,0.0,0.0
synthetic,dataset5989,304,Variable,lognormal_2p,w1,0.038297029274741684,0.045697459019720554,,0.0,0.0
synthetic,dataset5989,304,Variable,lognormal_3p,mle,0.043462464234727514,0.0020767920650541782,interior,9.069481399863078e-09,-0.2800510247296887
synthetic,dataset5989,304,Variable,lognormal_3p,w1,0.034862667910278464,0.21963125001639128,,0.0,0.2904979503630731
synthetic,dataset5989,304,Variable,lognormal_offset,mle,0.045182062802649824,0.0002602500608190894,,7.789719361117985e-07,-0.5
synthetic,dataset5989,304,Variable,lognormal_offset,w1,0.04326969534615344,0.033003457938320935,,1.1113417584404212e-07,-0.5
synthetic,dataset5989,304,Variable,gamma,mle,0.04766929068971219,0.0003132919082418084,,0.0,0.0
synthetic,dataset5989,304,Variable,gamma,w1,0.044613304479359295,0.07205320801585913,,0.0,0.0
synthetic,dataset5989,304,Variable,kde,mle,0.03398734662487531,,,0.00018281855875195539,
synthetic,dataset6004,115,Uniform,normal,mle,0.05858957520329145,0.0002568330382928252,,0.034574471717841046,0.9999999999999999
synthetic,dataset6004,115,Uniform,normal,w1,0.05448412891428302,0.03789337503258139,,0.08570233359330942,0.8865390293565978
synthetic,dataset6004,115,Uniform,lognormal_2p,mle,0.2109538513084787,0.00027079193387180567,,0.0,0.0
synthetic,dataset6004,115,Uniform,lognormal_2p,w1,0.07971788675922167,0.04989645804744214,,0.0,0.0
synthetic,dataset6004,115,Uniform,lognormal_3p,mle,0.04452096119484613,0.0019275000086054206,interior,0.007074439336246222,-0.9043601278638428
synthetic,dataset6004,115,Uniform,lognormal_3p,w1,0.045178405636959865,0.10748745908495039,,0.031000148181006597,-2.5975070794915567
synthetic,dataset6004,115,Uniform,lognormal_offset,mle,0.06694993834248739,0.00023662496823817492,,0.0030565349724714337,-0.5
synthetic,dataset6004,115,Uniform,lognormal_offset,w1,0.05910010053046626,0.033077499945648015,,0.0022403898733165195,-0.5
synthetic,dataset6004,115,Uniform,gamma,mle,0.09253254060602324,0.000244750059209764,,0.0,0.0
synthetic,dataset6004,115,Uniform,gamma,w1,0.058826891946170044,0.03699779196176678,,0.0,0.0
synthetic,dataset6004,115,Uniform,kde,mle,0.05840042994144276,,,0.023200123422957426,
synthetic,dataset6004,115,Variable,normal,mle,0.05343972768971832,0.00024158309679478407,,0.023731220933533526,1.0034177587847175
synthetic,dataset6004,115,Variable,normal,w1,0.03163500823910405,0.0510892920428887,,0.03896805357809372,0.9457148612132201
synthetic,dataset6004,115,Variable,lognormal_2p,mle,0.13773913226839174,0.0002601250307634473,,0.0,0.0
synthetic,dataset6004,115,Variable,lognormal_2p,w1,0.07352526282373156,0.03770441701635718,,0.0,0.0
synthetic,dataset6004,115,Variable,lognormal_3p,mle,0.032951370000294106,0.0018070410005748272,interior,0.0048867369991799706,-1.1192930642930747
synthetic,dataset6004,115,Variable,lognormal_3p,w1,0.02792810750635178,0.12016675004269928,,0.017760305989368178,-3.051276963718255
synthetic,dataset6004,115,Variable,lognormal_offset,mle,0.04934402622223708,0.0002310839481651783,,0.0013293252092664968,-0.5
synthetic,dataset6004,115,Variable,lognormal_offset,w1,0.044839191091630745,0.03002762491814792,,0.0007398090086848,-0.5
synthetic,dataset6004,115,Variable,gamma,mle,0.05869334228449131,0.00023262505419552326,,0.0,0.0
synthetic,dataset6004,115,Variable,gamma,w1,0.04493770073119393,0.03459574992302805,,0.0,0.0
synthetic,dataset6004,115,Variable,kde,mle,0.03885436398660381,,,0.019752414498888506,
synthetic,dataset6006,452,Uniform,normal,mle,0.5282415342610338,0.0002799159847199917,,0.18497735062739118,1.0
synthetic,dataset6006,452,Uniform,normal,w1,0.16897646195773952,0.0479361250763759,,0.5669736536450417,-0.20568797535067168
synthetic,dataset6006,452,Uniform,lognormal_2p,mle,0.14483221039085536,0.00025808403734117746,,0.0,0.0
synthetic,dataset6006,452,Uniform,lognormal_2p,w1,0.11144254115865938,0.03681916603818536,,0.0,0.0
synthetic,dataset6006,452,Uniform,lognormal_3p,mle,0.1336715295149338,0.0022415840066969395,boundary_guard,0.007379605444952816,-0.2573749699853939
synthetic,dataset6006,452,Uniform,lognormal_3p,w1,0.11064547104439057,0.14755816699471325,,8.486381290560625e-05,-0.06230831879460223
synthetic,dataset6006,452,Uniform,lognormal_offset,mle,0.16431541932033364,0.00024845905136317015,,0.019211917853507773,-0.5
synthetic,dataset6006,452,Uniform,lognormal_offset,w1,0.1236421220608684,0.04135537496767938,,0.03211767625569479,-0.5
synthetic,dataset6006,452,Uniform,gamma,mle,0.16626622437283356,0.000254875048995018,,0.0,0.0
synthetic,dataset6006,452,Uniform,gamma,w1,0.1326369193586044,0.04062341700773686,,0.0,0.0
synthetic,dataset6006,452,Uniform,kde,mle,0.13745028655756963,,,0.06880317532235988,
synthetic,dataset6006,452,Variable,normal,mle,0.5667598295110104,0.0002798329805955291,,0.20606657078993262,0.9816166973377564
synthetic,dataset6006,452,Variable,normal,w1,0.1563319497742478,0.053472000057809055,,0.2938271001350191,0.44747130306477345
synthetic,dataset6006,452,Variable,lognormal_2p,mle,0.14667003169016782,0.00028245802968740463,,0.0,0.0
synthetic,dataset6006,452,Variable,lognormal_2p,w1,0.10499483708233148,0.03491445805411786,,0.0,0.0
synthetic,dataset6006,452,Variable,lognormal_3p,mle,0.11670378554682566,0.002249124925583601,boundary_guard,0.010490412119073034,-0.27775111008659903
synthetic,dataset6006,452,Variable,lognormal_3p,w1,0.10388475235769143,0.0891507500782609,,0.0006135599864486981,-0.09984858358144787
synthetic,dataset6006,452,Variable,lognormal_offset,mle,0.14372750549302418,0.0002401249948889017,,0.02302132109764098,-0.5
synthetic,dataset6006,452,Variable,lognormal_offset,w1,0.11255289794484163,0.033218625001609325,,0.028931080212297136,-0.5
synthetic,dataset6006,452,Variable,gamma,mle,0.1590857898365447,0.00025100004859268665,,0.0,0.0
synthetic,dataset6006,452,Variable,gamma,w1,0.1210655885892466,0.0395019999705255,,0.0,0.0
synthetic,dataset6006,452,Variable,kde,mle,0.1386047674977148,,,0.09607293916213497,
synthetic,dataset6010,575,Uniform,normal,mle,0.010234716869749833,0.0002981669967994094,,7.062143933962556e-54,0.9999999999999997
synthetic,dataset6010,575,Uniform,normal,w1,0.0173631853954827,0.0340091249672696,,1.1018092129264667e-80,1.0001094637789842
synthetic,dataset6010,575,Uniform,lognormal_2p,mle,0.010876074327640385,0.0002801659284159541,,0.0,0.0
synthetic,dataset6010,575,Uniform,lognormal_2p,w1,0.017740853117662957,0.03440304205287248,,0.0,0.0
