material,n_implausible,n_before,n_after,n_removed,n_removed_low,n_removed_high,min_over_mean_before,max_over_mean_before,min_over_mean_after,max_over_mean_after,status
Gypsum,0,777,771,6,4,2,0.0001381028049031411,18.039265903616037,0.09124194305918029,7.980052625849002,ok
GypsumSheathingBoard,0,19,19,0,0,0,0.4640522887444391,1.6651288007888698,0.4640522887444391,1.6651288007888698,ok
HeavyTimber,0,5,5,0,0,0,0.21130666863534292,2.155869137798756,0.21130666863534292,2.155869137798756,ok
Hollow,0,150,145,5,5,0,3.5604925542738154e-05,3.1229182537497104,0.28047549071430794,3.0224883433825416,ok
HotRolled,1,84,81,3,3,0,0.0006360129717114711,5.324546636374132,0.06760850314544342,5.134690078200545,ok
InsulatedRoofPanels,0,271,271,0,0,0,0.2934554739549958,2.4402669160287322,0.2934554739549958,2.4402669160287322,ok
InsulatedWallPanels,0,425,420,5,4,1,0.0008454479174069556,6.432480505561453,0.21263498418109908,3.8987688907067577,ok
InsulatingGlazingUnits,0,32,32,0,0,0,0.28173245431027294,3.885504464658266,0.28173245431027294,3.885504464658266,ok
JointProtection,0,5,5,0,0,0,0.34641510535339176,1.5743294998888877,0.34641510535339176,1.5743294998888877,ok
Laminate,0,27,26,1,1,0,0.0056410852255319175,2.927991855157043,0.04501869947272703,2.8201369209926708,ok
MBQ,0,40,40,0,0,0,0.41491370104668285,4.011119978933629,0.41491370104668285,4.011119978933629,ok
MasonryCement,0,28,26,2,2,0,0.047821195289383174,1.8580516870557258,0.24794567841607773,1.731581708856303,ok
MassTimber,0,66,66,0,0,0,0.14598652629205394,4.477890956090433,0.14598652629205394,4.477890956090433,ok
MechanicalInsulation,0,22,22,0,0,0,0.1354263961751178,4.337570080391456,0.1354263961751178,4.337570080391456,ok
MetalDoorAndFrames,0,42,42,0,0,0,0.17992184065416014,3.5361051680408533,0.17992184065416014,3.5361051680408533,ok
MetalRailings,0,14,13,1,0,1,0.13279035185214838,5.675118389211929,0.20736325809617265,2.2596900713503016,ok
MetalStairs,0,6,5,1,1,0,8.148113510282895e-07,1.6970192409487765,0.6984098242981952,1.4141828928393594,ok
Mirrors,0,19,19,0,0,0,0.20371699029635876,1.8485359490724023,0.20371699029635876,1.8485359490724023,ok
MiscMetalFabrication,0,69,69,0,0,0,0.24360057272888316,3.971023034895493,0.24360057272888316,3.971023034895493,ok
Mortar,2,248,248,0,0,0,0.014626609859814567,11.55608059244915,0.014626609859814567,11.55608059244915,ok
NetworkingCableTrays,0,22,22,0,0,0,0.311282078702801,2.290050144122275,0.311282078702801,2.290050144122275,ok
NetworkingRaceways,0,32,32,0,0,0,0.009091629146848287,5.324148785295624,0.009091629146848287,5.324148785295624,ok
NonStructuralWood,0,58,57,1,1,0,0.0014006999761079046,5.560366261057693,0.05393780849387604,5.4646298480549325,ok
OilPatch,0,282,282,0,0,0,0.11988306473655777,10.887444782419,0.11988306473655777,10.887444782419,ok
OpenWebMembranes,0,18,17,1,0,1,0.5795849086446986,3.974076893492164,0.7024809256503228,2.1353929464065518,ok
Openings,0,12,12,0,0,0,0.0042516001570653056,2.226073667142713,0.0042516001570653056,2.226073667142713,ok
OtherFlooring,0,217,217,0,0,0,0.003694065219080551,6.551938024672954,0.003694065219080551,6.551938024672954,ok
PaintingAndCoating,0,19,19,0,0,0,0.01519440499302904,5.694033643008846,0.01519440499302904,5.694033643008846,ok
PlateSteel,2,72,72,0,0,0,0.1850876110414395,5.8229810215284346,0.1850876110414395,5.8229810215284346,ok
PostTensioningSteel,0,35,35,0,0,0,0.8201829903478701,1.3799927902294276,0.8201829903478701,1.3799927902294276,ok
PowerCabling,0,400,400,0,0,0,1.693094452041194e-05,242.11250664189077,1.693094452041194e-05,242.11250664189077,ok
PrecastConcrete,6,540,499,41,25,16,2.81151317497069e-06,142.25471990138547,0.2927241328873081,3.459467025031827,ok
ProcessedNonInsulatingGlassPanes,0,130,130,0,0,0,0.0008167199424969943,8.340662067624171,0.0008167199424969943,8.340662067624171,ok
ReadyMix [3000-3999 psi],0,20848,20814,34,29,5,0.0001297807798464255,35.513108706840214,0.3269911877468781,2.678573834888824,ok
ReadyMix [4000-4999 psi],0,31067,31025,42,25,17,0.04151057449805035,310.7384654143886,0.3074094609517363,2.969106239720933,ok
ReadyMix [5000-5999 psi],0,14372,14366,6,6,0,0.04023128053269368,2.622556757120994,0.3209361106564931,2.621578159428795,ok
ReadyMix [<3000 psi],0,4003,3974,29,25,4,0.1145906552977253,91.73823300843993,0.24599527585873698,2.7914919263284306,ok
ReadyMix [>=6000 psi],0,7905,7887,18,18,0,0.016187123505204903,3.160224573554619,0.2858259235294304,3.1540269300769324,ok
ReadyMix [strength not stated],0,8800,8777,23,7,16,3.524421898173795e-06,17.31148926680662,0.11733215678234384,7.345797564082842,ok
RebarSteel,4,204,204,0,0,0,0.05853372121342439,8.602355813314546,0.05853372121342439,8.602355813314546,ok
ResilientFlooring,0,476,468,8,7,1,0.0021713863676878302,9.081561085290206,0.07837064562530767,6.730886405498527,ok
RoofCoverBoards,0,25,20,5,2,3,0.04567081497871931,2.2732079853661196,0.5589985278977732,1.4506242790074444,ok
RoofPanels,0,61,61,0,0,0,0.04090320228167667,3.8348036783597688,0.04090320228167667,3.8348036783597688,ok
SheathingPanels,0,71,71,0,0,0,0.01410018092000991,4.228059908121783,0.01410018092000991,4.228059908121783,ok
Shotcrete [3000-3999 psi],0,183,183,0,0,0,0.5988387897464957,1.5902015589290988,0.5988387897464957,1.5902015589290988,ok
Shotcrete [4000-4999 psi],0,652,651,1,0,1,0.514255257907939,2.8263006250052887,0.5157019965848659,1.5977270446340939,ok
