arm,dataset,n,method,w1,w1_heldout,model_sd_ratio,w1_rank,w1_heldout_rank,w1_heldout_rank_within,w1_relative
empirical,BackingAndUnderlay,45,"Normal, Uniform",0.7535164775973885,0.7865903776963739,0.723806266300742,5.0,5.0,3.0,1.6178032351606302
empirical,BackingAndUnderlay,45,"Normal, Variable",0.7844580791732065,0.788522534286957,0.7424514587606948,6.0,6.0,3.0,1.6842349916233679
empirical,BackingAndUnderlay,45,"Lognormal, Uniform",0.3092875230603637,0.42716842664133287,0.9054527824632702,3.0,1.0,1.0,0.6640416902325861
empirical,BackingAndUnderlay,45,"Lognormal, Variable",0.30505541479398857,0.4864281957105546,1.0036400501298721,2.0,2.0,1.0,0.6549553349259009
empirical,BackingAndUnderlay,45,"KDE, Uniform",0.1756797636372625,0.6285756778347626,1.0154152109510803,1.0,3.0,2.0,0.3771852353791223
empirical,BackingAndUnderlay,45,"KDE, Variable",0.4665940537865853,0.6820861552547972,1.0635639213821304,4.0,4.0,2.0,1.0017795126783926
empirical,BituminousRoofing,66,"Normal, Uniform",0.3051383967140744,0.3213927635111129,0.7819380113916952,5.0,5.0,3.0,1.731315210116394
empirical,BituminousRoofing,66,"Normal, Variable",0.34276742926072645,0.37647890027015585,0.8161753211349869,6.0,6.0,3.0,1.9448174015532498
empirical,BituminousRoofing,66,"Lognormal, Uniform",0.11537062617210196,0.19195994536607547,0.9389679613123608,4.0,2.0,1.0,0.6545977892109688
empirical,BituminousRoofing,66,"Lognormal, Variable",0.10780435114876052,0.17730317814110647,1.0059572440660272,3.0,1.0,1.0,0.6116677378870458
empirical,BituminousRoofing,66,"KDE, Uniform",0.08944856136092495,0.26259146602119254,0.982140361379139,1.0,3.0,2.0,0.5075193960342911
empirical,BituminousRoofing,66,"KDE, Variable",0.09695015703106676,0.2934471424396636,1.0338732921066238,2.0,4.0,2.0,0.5500824651980504
empirical,BlanketFacing,28,"Normal, Uniform",0.29324121157475314,0.4509461979141753,1.232328701221551,6.0,6.0,3.0,1.775163878790841
empirical,BlanketFacing,28,"Normal, Variable",0.10463491870847082,0.34857596881353514,0.9122394131250686,3.0,3.0,3.0,0.6334175443963593
empirical,BlanketFacing,28,"Lognormal, Uniform",0.19655805139422888,0.37724601827870535,1.3222734330134842,4.0,4.0,1.0,1.1898830694593598
empirical,BlanketFacing,28,"Lognormal, Variable",0.07905761631300896,0.33378493052406166,0.9668385737516555,2.0,1.0,1.0,0.4785828842696058
empirical,BlanketFacing,28,"KDE, Uniform",0.24312391429910604,0.4337348143564445,1.4806235075259342,5.0,5.0,2.0,1.4717739993513612
empirical,BlanketFacing,28,"KDE, Variable",0.07453067733107507,0.3482878709811479,1.0735902592360818,1.0,2.0,2.0,0.4511786237324723
empirical,BlanketInsulation [mineral wool],184,"Normal, Uniform",0.5620314611665793,0.5639855929549411,0.9616118148091762,6.0,6.0,3.0,2.3986958357655954
empirical,BlanketInsulation [mineral wool],184,"Normal, Variable",0.40050059437631985,0.4199342171985368,0.7992632144971802,5.0,5.0,3.0,1.7092977427955598
empirical,BlanketInsulation [mineral wool],184,"Lognormal, Uniform",0.16973773137134646,0.1928508182339163,0.847307373122258,4.0,4.0,2.0,0.7244241960541671
empirical,BlanketInsulation [mineral wool],184,"Lognormal, Variable",0.11920921541919055,0.17046180734194943,0.7157753718069226,2.0,1.0,1.0,0.5087733843535586
empirical,BlanketInsulation [mineral wool],184,"KDE, Uniform",0.11948182760790656,0.17191711777655758,1.238653356448325,3.0,2.0,1.0,0.5099368667687507
empirical,BlanketInsulation [mineral wool],184,"KDE, Variable",0.034881760319030466,0.18918117282805907,1.0125250184264707,1.0,3.0,2.0,0.1488719742623678
empirical,BlanketInsulation [other],3,"Normal, Uniform",0.44311102518312356,,1.8803429674298888,4.0,,,1.1687662718759628
empirical,BlanketInsulation [other],3,"Normal, Variable",0.21196577894656846,,0.9656291773934736,2.0,,,0.5590888945322064
empirical,BlanketInsulation [other],3,"Lognormal, Uniform",0.6393940890752158,,7.446605423417188,6.0,,,1.6864898485410766
empirical,BlanketInsulation [other],3,"Lognormal, Variable",0.21208750180201394,,0.9662725512070693,3.0,,,0.5594099553045091
empirical,BlanketInsulation [other],3,"KDE, Uniform",0.5672645296321478,,2.263091008938185,5.0,,,1.4962382152230145
empirical,BlanketInsulation [other],3,"KDE, Variable",0.20093997284886933,,1.0856521952137337,1.0,,,0.5300068145232303
empirical,BlanketInsulation [type not stated],129,"Normal, Uniform",0.6479219387602613,0.692286888829126,0.7494120211783862,6.0,6.0,3.0,2.0457267480096992
empirical,BlanketInsulation [type not stated],129,"Normal, Variable",0.6328189223419141,0.6846121159293296,0.7542269688835849,5.0,5.0,3.0,1.9980409963560968
empirical,BlanketInsulation [type not stated],129,"Lognormal, Uniform",0.22082057163463364,0.33075708127104864,0.7623284754085591,4.0,2.0,1.0,0.697211381309486
empirical,BlanketInsulation [type not stated],129,"Lognormal, Variable",0.21609072782678046,0.3293471251920964,0.680341332281736,3.0,1.0,1.0,0.6822775329354869
