arm,dataset,n,estimate_maxima,crit_bw_1,n_modes_silverman
shipped_synthetic,dataset4717,6,1.027928658962977,0.7919130530116332,1
shipped_synthetic,dataset10724,645,1.0038240411741,0.4787366252238108,1
shipped_synthetic,dataset9143,57,1.0288650577090768,1.0472266561661274,2
shipped_synthetic,dataset8866,17,1.0,0.579538231159824,1
shipped_synthetic,dataset6662,52,1.0,0.38695889450464743,1
shipped_synthetic,dataset148,535,1.0,0.20680680946869576,1
shipped_synthetic,dataset440,722,1.5738512079238047,0.653419018123486,2
shipped_synthetic,dataset12620,217,1.0,0.3215929069959944,1
shipped_synthetic,dataset8584,13,1.0,0.6153416390659335,1
shipped_synthetic,dataset10148,18,1.309623387790523,0.8679418571224328,2
shipped_synthetic,dataset13620,266,1.3548490260510382,0.717500782161247,3
shipped_synthetic,dataset2450,11,1.0,0.4304308983441072,1
shipped_synthetic,dataset2817,87,1.6686370773686512,0.8775303321120631,2
shipped_synthetic,dataset5027,7,1.004631045609946,0.7348409928199363,1
shipped_synthetic,dataset8334,157,1.1381559011776134,0.5160910368421044,3
shipped_synthetic,dataset4613,5,1.0,0.727435706761295,1
shipped_synthetic,dataset926,135,1.0,0.2967464698056379,1
shipped_synthetic,dataset594,676,1.5407306057126995,0.5022201619830394,3
shipped_synthetic,dataset6521,152,1.2126205714603937,0.5710074120997253,3
shipped_synthetic,dataset7380,13,1.1228290087695503,0.7813295250362184,2
shipped_synthetic,dataset7368,410,1.245852968343889,0.45165516347308265,3
shipped_synthetic,dataset3824,444,1.0146415672897244,0.3481454936771933,1
shipped_synthetic,dataset1377,58,1.0,0.38033925075356445,1
shipped_synthetic,dataset5931,76,1.6050799879779056,0.8313500853000282,2
shipped_synthetic,dataset11736,85,1.6110706074918477,0.8354002663454835,2
shipped_synthetic,dataset5684,544,1.388827541130898,0.7332131461416571,2
shipped_synthetic,dataset3841,358,1.3195225966587665,0.6446660230686092,5
shipped_synthetic,dataset2591,214,1.0025755608005558,0.4512739077571068,1
shipped_synthetic,dataset2743,9,1.0,0.3801973325886275,1
shipped_synthetic,dataset9168,133,1.0,0.3672194809853081,1
shipped_synthetic,dataset504,41,1.0398277571636267,0.5813885512334585,1
shipped_synthetic,dataset4216,142,1.4730006899685733,0.7360831361566926,2
shipped_synthetic,dataset6853,8,1.0,0.6031416585476039,1
shipped_synthetic,dataset9969,24,1.2204498922788292,0.7516157650602756,2
shipped_synthetic,dataset5190,402,1.3734154499137188,0.6325701624188195,3
shipped_synthetic,dataset3326,8,1.002269246222525,0.7108843458122756,1
shipped_synthetic,dataset7443,208,1.1514818001830482,0.5545631608428951,3
