material,k,min_mode_cv,median_mode_cv,avg_overlap,min_overlap
SteelSuspensionAssembly,2,0.11213748355282173,0.2139746570247214,0.25763478917259197,0.25763478917259197
StoneCladding,3,0.001,0.09582794142175287,2.763078217880171e-06,2.218865578047706e-14
StorageFurniture,3,0.0009999999999999998,0.0009999999999999998,3.515511147377366e-05,0.0
StructuralSteel,3,0.0010000000000000002,0.13166016169122013,0.010452474827157665,1.0712389396709894e-303
SupplementaryCementitiousMaterials,1,0.6785542006548899,0.6785542006548899,,
Tables,5,0.001,0.16408865218549515,0.03532721448525243,0.0
TileGrout,4,0.001,0.19687008023662156,0.10736403163144416,5.862280321463845e-304
Timber,1,0.7157459257967166,0.7157459257967166,,
TranslucentWallAndRoofAssemblies,2,0.26761030469172675,0.8728611011348584,0.1405818768395427,0.1405818768395427
UnitSkylights,1,0.6372312964886302,0.6372312964886302,,
VinylSiding,3,0.001,0.20869045936182667,0.001973003396439295,6.209201311337898e-06
WallBase,2,0.0009999999999999998,0.12414621519441875,0.00011928794493443731,0.00011928794493443731
WallFinishes,5,0.014491426697639968,0.2334554933533229,0.07064027814405663,0.0014870077645034038
WallPanels,3,0.2922667792403239,0.7040336563285355,0.1138375994038723,0.00037654744914299837
WeatherBarriers,3,0.1110094577764933,0.3524038480650336,0.12259594339432883,0.03478312834491342
Windows,5,0.023990382626959936,0.3100441463911301,0.10788728818970961,0.002005871450603796
WireMeshSteel,3,0.058882051249221155,0.26134251056271807,0.07924390476292212,0.03022995991199423
WoodDoors,4,0.007011560204558554,0.10018524361129633,0.002172320140294187,4.614563994956931e-80
WoodFlooring,4,0.00939192888912741,0.11903732202422138,0.02067765691375679,6.032308281741025e-29
WoodFraming,2,0.0010000000000000002,0.1361054224565194,3.389876094947665e-08,3.389876094947665e-08
WorkSurfaces,4,0.001,0.03197878344823082,0.0009663309608012102,0.0
